game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
8,44,3,5,5,2,0,3,1,1,3,39
8,48,3,0,5,2,1,3,0,2,4,26
8,52,2,2,8,1,1,3,1,2,5,13
8,56,1,3,4,3,3,4,1,2,5,94
8,60,0,3,3,3,2,4,1,3,7,14
8,64,2,0,7,1,2,4,0,4,8,186
8,68,0,2,6,0,0,5,1,4,9,6
8,72,1,2,7,0,4,5,1,4,9,17
8,76,1,2,8,4,7,6,1,4,9,37
9,4,0,0,0,0,0,0,0,0,0,36
9,11,2,1,1,0,1,2,2,0,2,8
9,15,1,2,1,0,1,3,2,0,2,9
9,19,0,2,1,1,0,4,2,0,2,1
9,23,1,2,1,1,1,4,2,0,2,16
9,27,1,2,0,2,0,4,3,0,3,1
9,31,2,2,0,0,0,4,3,0,3,15
9,35,2,2,0,2,0,4,3,0,3,1
9,39,2,2,2,4,0,4,3,0,3,15
9,43,0,3,2,5,0,4,3,0,3,37
9,47,2,1,2,2,0,4,2,1,4,15
9,51,2,0,4,2,1,4,2,1,4,28
9,55,0,2,6,5,0,4,2,1,4,32
9,59,0,3,6,5,1,4,2,1,4,30
9,63,0,3,2,4,1,4,1,2,5,29
9,67,0,3,2,4,1,4,1,2,5,17
9,71,1,1,2,2,1,4,1,2,5,15
9,75,4,1,2,2,2,5,1,2,5,100
9,79,2,2,1,4,2,6,2,2,6,432
9,83,4,1,0,3,2,7,3,2,7,78
9,87,2,2,0,3,3,8,3,2,7,29
9,91,0,2,3,3,3,10,3,2,7,1
9,95,3,3,3,3,5,10,3,2,7,1633
9,99,0,0,8,0,2,12,3,3,9,13
9,103,1,0,8,6,2,12,3,3,9,26
10,3,0,0,0,0,0,0,0,0,0,57
10,6,0,0,0,0,0,1,1,0,1,27
10,11,0,0,1,1,1,2,2,0,2,1
10,15,2,0,1,1,1,2,2,0,2,7
10,19,3,0,1,1,0,3,2,0,2,1
10,23,3,0,2,2,0,3,2,0,2,1
10,27,3,0,2,2,2,3,2,0,2,39
10,31,2,1,1,2,2,3,3,0,3,22
10,35,1,1,3,2,1,4,3,0,3,7
10,39,0,1,3,3,2,5,3,0,3,1
10,43,1,1,4,4,2,5,3,0,3,82
10,47,1,1,3,3,5,5,4,0,4,36
10,51,2,2,4,3,3,5,4,0,4,180
10,55,2,3,1,3,2,6,4,0,4,171
10,59,0,0,1,2,0,7,4,1,6,6
10,63,1,0,2,2,0,7,4,1,6,1
10,67,2,1,2,2,3,7,4,1,6,46
10,71,2,1,2,2,1,8,4,1,6,36
10,75,1,3,2,2,4,9,4,1,6,82
10,79,0,0,0,0,7,10,3,2,7,20
11,3,0,0,0,0,0,0,0,0,0,51
11,6,0,0,0,0,0,1,1,0,1,24
11,11,1,1,1,0,2,2,2,0,2,9
11,15,0,2,2,0,0,3,2,0,2,6
11,19,0,2,5,0,0,3,2,0,2,6
11,23,2,2,2,1,0,3,2,0,2,14
11,27,3,3,2,1,2,3,2,0,2,50
11,31,2,0,1,1,2,4,3,0,3,99
11,35,0,1,0,0,1,5,4,0,4,1
11,39,1,2,2,0,2,5,4,0,4,8
11,43,0,2,8,0,3,6,4,0,4,14
11,47,0,2,12,1,0,6,4,0,4,18
11,51,2,2,10,1,1,6,4,0,4,16
11,55,3,2,7,2,0,6,5,0,5,14
11,59,5,4,7,2,2,6,5,0,5,2088
11,63,6,2,3,1,4,8,4,1,6,2066
11,67,3,3,5,0,7,10,5,1,7,2650
11,71,2,4,5,0,8,11,5,1,7,1433
11,75,1,0,12,0,11,12,5,1,7,333
11,79,1,1,11,1,13,12,5,1,7,230
11,83,1,3,14,2,15,12,5,1,7,350
11,87,1,0,17,2,11,13,4,2,8,36
11,91,1,1,20,2,9,13,5,2,9,32
11,95,0,3,20,3,10,14,5,2,9,40
12,3,0,0,0,0,0,0,0,0,0,51
12,6,0,0,0,0,0,1,1,0,1,30
12,11,0,2,2,1,0,2,2,0,2,1
12,15,0,3,2,1,0,2,2,0,2,1
12,19,0,4,3,1,0,2,2,0,2,6
12,23,0,6,1,2,0,2,2,0,2,12
12,27,0,5,4,0,0,2,1,1,3,10
12,31,0,5,8,0,0,2,1,1,3,10
12,35,1,7,4,0,1,2,1,1,3,26
12,39,0,10,4,2,0,3,1,1,3,20
12,43,0,9,6,0,2,3,0,2,4,26
12,47,0,9,8,0,4,3,0,2,4,30
12,51,1,11,6,2,4,3,0,2,4,32
12,55,1,11,5,3,2,3,1,2,5,76
12,59,1,8,3,3,1,4,0,3,6,32
12,63,0,3,4,2,1,4,0,4,8,10
12,67,1,3,8,2,1,4,0,4,8,15
12,71,1,5,6,6,8,5,0,4,8,56
12,75,0,6,11,3,11,5,1,4,9,88
12,79,1,8,17,3,7,5,1,4,9,76
12,83,1,8,17,5,10,6,1,4,9,81
12,87,1,4,21,11,13,7,1,4,9,100
12,91,1,4,26,11,8,8,1,4,9,98
13,3,0,0,0,0,0,0,0,0,0,51
13,6,0,0,0,0,0,1,1,0,1,27
13,11,0,1,0,1,3,2,2,0,2,1
13,15,1,2,0,1,4,2,2,0,2,22
13,19,0,3,0,2,1,3,2,0,2,17
13,23,1,0,1,0,2,3,1,1,3,10
13,27,0,0,2,0,3,4,1,1,3,1
13,31,1,0,3,0,4,4,1,1,3,26
13,35,2,0,4,1,1,4,1,1,3,502
13,39,3,0,3,0,3,4,2,1,4,176
13,43,0,0,3,0,0,7,2,1,4,1
13,47,0,0,3,0,4,7,2,1,4,6
13,51,0,1,5,1,2,7,2,1,4,30
13,55,1,1,1,4,3,7,2,1,4,32
13,59,1,1,1,3,0,7,3,1,5,6
13,63,1,5,1,3,2,7,3,1,5,182
13,67,1,1,2,0,3,7,3,2,7,15
13,71,0,2,2,0,2,8,3,2,7,16
13,75,2,2,3,1,3,8,3,2,7,426
13,79,1,2,0,0,2,9,4,2,8,16
13,83,1,2,2,0,1,10,4,2,8,16
13,87,0,5,2,1,1,11,4,2,8,32
13,91,0,3,2,2,3,11,4,2,8,22
13,95,2,0,2,1,2,11,3,3,9,359
14,1,0,0,0,0,0,0,0,0,0,72
14,8,0,0,0,0,0,1,1,0,1,1
14,12,0,2,1,2,0,2,2,0,2,1
14,16,0,4,1,2,0,2,2,0,2,10
14,20,0,3,2,2,0,2,1,1,3,2
14,24,0,6,8,2,0,2,0,2,4,10
14,28,2,6,10,2,0,2,0,2,4,22
14,32,4,6,12,2,1,2,0,2,4,26
14,36,3,6,16,2,1,3,0,2,4,24
14,40,2,6,16,2,1,4,0,2,4,24
14,44,3,8,13,5,1,4,1,2,5,54
14,48,5,5,13,3,3,5,0,3,6,460
14,52,2,2,18,1,0,7,0,4,8,24
14,56,6,4,20,5,1,7,0,4,8,52
14,60,5,9,15,4,2,7,1,4,9,935
14,64,4,10,17,4,4,8,1,4,9,1091
14,68,2,13,23,5,2,10,1,4,9,760
15,1,0,0,0,0,0,0,0,0,0,72
15,8,0,0,0,0,0,1,1,0,1,1
15,12,0,3,0,5,0,2,2,0,2,10
15,16,0,3,1,0,0,2,1,1,3,6
15,20,0,3,1,0,0,2,1,1,3,1
15,24,0,1,5,3,0,2,1,1,3,6
15,28,0,3,3,6,0,2,1,1,3,12
15,32,1,1,3,0,2,2,0,2,4,14
15,36,0,1,1,0,2,3,0,2,4,14
15,40,0,1,3,0,2,3,0,2,4,1
15,44,1,3,3,0,2,3,0,2,4,13
15,48,1,5,3,4,1,4,0,2,4,28
15,52,1,0,2,2,0,4,0,3,6,6
15,56,0,2,4,1,0,4,0,3,6,6
15,60,0,2,6,1,0,4,0,3,6,6
15,64,0,2,8,1,1,4,0,3,6,6
15,68,1,2,6,1,1,4,0,3,6,13
15,72,0,2,3,0,1,4,1,3,7,6
15,76,0,6,3,4,1,4,1,3,7,24
15,80,1,3,5,2,1,4,0,4,8,22
15,84,1,1,5,2,4,5,0,4,8,26
15,88,1,1,2,1,3,5,1,4,9,11
15,92,1,1,2,1,2,6,1,4,9,11
15,96,0,7,0,2,1,7,1,4,9,25
15,100,1,3,0,2,1,7,1,4,9,24
15,104,0,7,0,7,0,8,1,4,9,20
15,108,0,11,0,3,1,8,1,4,9,20
15,112,1,15,2,8,1,8,1,4,9,58
16,4,0,0,0,0,0,0,0,0,0,39
16,11,1,1,2,0,1,2,2,0,2,8
16,15,0,1,3,0,1,3,2,0,2,1
16,19,0,1,4,0,2,3,2,0,2,14
16,23,1,1,4,1,2,3,2,0,2,84
16,27,2,1,3,4,1,3,3,0,3,69
16,31,1,1,4,4,0,4,3,0,3,24
16,35,1,1,4,4,0,4,3,0,3,24
16,39,1,3,0,4,0,4,3,0,3,27
16,43,2,0,0,8,0,4,2,1,4,13
16,47,2,0,1,6,2,4,2,1,4,84
16,51,1,0,0,8,0,5,3,1,5,13
16,55,1,3,2,4,0,5,3,1,5,17
16,59,2,0,4,5,2,5,2,2,6,344
16,63,2,0,4,3,2,6,3,2,7,123
16,67,0,1,3,0,1,7,4,2,8,6
16,71,0,3,3,0,1,7,4,2,8,1
16,75,0,3,0,3,3,7,4,2,8,60
16,79,0,1,1,1,5,7,3,3,9,12
16,83,1,1,1,3,1,7,3,3,9,12
16,87,2,1,5,2,2,8,3,3,9,126
17,1,0,0,0,0,0,0,0,0,0,72
17,8,0,0,0,0,0,1,1,0,1,1
17,12,1,0,1,3,2,2,2,0,2,9
17,16,0,0,1,3,1,3,2,0,2,1
17,20,1,0,1,2,2,3,2,0,2,15
17,24,0,1,0,3,3,3,3,0,3,1
17,28,1,3,0,3,1,3,3,0,3,56
17,32,1,0,2,2,2,4,2,1,4,11
17,36,1,2,3,1,1,4,3,1,5,10
17,40,0,4,3,1,0,5,3,1,5,6
17,44,1,5,3,5,0,5,3,1,5,32
17,48,1,3,1,7,1,5,2,2,6,78
17,52,2,3,3,5,1,5,1,3,7,172
17,56,2,0,3,10,9,5,0,4,8,482
18,1,0,0,0,0,0,0,0,0,0,72
18,8,0,0,0,0,0,1,1,0,1,1
18,12,0,0,1,1,3,2,2,0,2,1
18,16,1,0,1,1,3,2,2,0,2,9
18,20,0,1,3,2,2,3,2,0,2,1
18,24,1,2,3,2,2,3,2,0,2,10
18,28,1,2,3,2,2,4,2,0,2,12
18,32,0,3,2,2,3,4,3,0,3,4
18,36,2,1,2,0,5,4,2,1,4,132
18,40,3,3,2,2,3,5,2,1,4,1040
18,44,2,0,5,1,6,6,1,2,5,802
18,48,0,3,5,0,4,7,2,2,6,21
18,52,3,3,8,0,0,7,2,2,6,1270
18,56,9,3,8,0,5,7,2,2,6,6634
18,60,7,3,11,3,4,8,2,2,6,14008
18,64,3,1,8,3,1,11,2,3,8,17
18,68,2,3,10,3,2,12,2,3,8,1151
19,2,0,0,0,0,0,0,0,0,0,63
19,7,0,0,0,0,0,1,1,0,1,24
19,10,3,0,0,1,0,2,2,0,2,1
19,14,3,0,1,1,1,2,2,0,2,9
19,18,4,0,1,1,2,3,2,0,2,124
19,22,2,0,2,0,1,4,3,0,3,11
19,26,3,0,4,1,1,4,3,0,3,98
19,30,3,0,5,0,1,4,4,0,4,15
19,34,2,3,4,2,1,5,4,0,4,151
19,38,1,3,2,2,0,6,3,1,5,19
19,42,2,0,4,5,1,6,2,2,6,187
19,46,2,0,3,6,1,6,3,2,7,96
19,50,2,0,3,2,1,7,3,2,7,15
19,54,1,6,7,2,1,8,3,2,7,80
19,58,2,5,14,2,0,8,4,2,8,38
19,62,2,3,14,2,1,8,3,3,9,144
