game,turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
8,13,0,0,0,3,0,3,2,0,2,1
8,17,0,2,0,3,0,3,2,0,2,1
8,21,0,2,0,3,0,3,2,0,2,1
8,25,0,3,0,4,0,3,2,0,2,10
8,29,0,2,0,3,0,3,1,1,3,1
8,33,0,3,0,3,0,3,1,1,3,2
8,37,0,2,0,2,0,3,0,2,4,6
8,41,0,3,0,4,0,3,0,2,4,10
8,45,0,5,0,6,0,3,0,2,4,10
8,49,0,3,3,6,0,3,0,2,4,10
8,53,1,1,3,6,2,3,0,2,4,24
8,57,1,3,1,8,1,4,0,2,4,24
8,61,0,3,3,10,0,5,0,2,4,6
8,65,4,5,3,6,1,5,0,2,4,30
8,69,3,1,3,10,1,6,0,2,4,31
8,73,3,5,3,6,3,6,0,2,4,1116
9,1,0,0,0,0,0,0,0,0,0,72
9,7,0,0,0,0,0,1,1,0,1,15
9,8,0,0,0,1,1,2,2,0,2,1
9,12,1,0,0,3,2,2,2,0,2,8
9,16,1,0,0,2,1,3,2,0,2,14
9,20,1,0,0,3,2,3,2,0,2,9
9,24,1,0,0,3,2,4,2,0,2,9
9,28,0,0,0,4,2,5,2,0,2,15
9,32,1,0,0,2,3,5,2,0,2,15
9,36,0,0,0,3,3,6,2,0,2,1
9,40,1,0,0,4,1,6,2,0,2,28
9,44,2,0,0,0,2,7,2,0,2,96
9,48,0,0,0,2,0,9,2,0,2,1
9,52,0,1,0,2,0,9,2,0,2,6
9,56,0,1,1,2,1,9,2,0,2,1
9,60,0,1,1,3,2,9,2,0,2,1
9,64,1,1,1,2,3,9,2,0,2,18
9,68,0,1,0,1,3,9,3,0,3,13
9,72,0,1,0,3,4,9,3,0,3,6
9,76,2,1,0,4,1,9,3,0,3,104
9,80,2,1,0,1,3,10,3,0,3,199
9,84,1,1,1,3,3,11,3,0,3,10
9,88,0,1,1,5,4,12,3,0,3,18
9,92,1,1,1,2,5,12,3,0,3,26
9,96,1,1,2,2,3,13,3,0,3,12
9,100,0,1,3,1,3,14,3,0,3,13
10,4,0,0,0,0,0,0,0,0,0,36
10,5,0,0,0,0,0,1,1,0,1,36
10,12,2,0,1,0,3,2,2,0,2,37
10,16,1,0,1,1,1,4,2,0,2,10
10,20,1,0,1,2,0,5,2,0,2,1
10,24,2,0,2,3,1,5,2,0,2,11
10,28,3,0,2,3,3,5,2,0,2,206
10,32,1,1,1,0,1,7,3,0,3,15
10,36,0,1,5,2,0,8,3,0,3,6
10,40,1,1,7,2,2,8,3,0,3,130
10,44,0,2,3,4,1,9,3,0,3,31
10,48,1,2,3,2,3,9,3,0,3,21
10,52,1,2,1,2,3,10,3,0,3,21
10,56,1,2,3,3,2,11,3,0,3,12
10,60,1,2,3,1,1,12,3,0,3,17
10,64,1,2,3,2,0,13,3,0,3,1
10,68,2,3,3,3,1,13,3,0,3,56
10,72,1,1,6,2,1,13,3,1,5,54
10,76,4,2,4,2,2,13,3,1,5,101
10,80,2,3,4,3,2,15,3,1,5,444
11,4,0,0,0,0,0,0,0,0,0,33
11,5,0,0,0,0,0,1,1,0,1,33
11,12,0,1,2,1,1,2,2,0,2,1
11,16,0,1,3,1,3,2,2,0,2,1
11,20,1,1,1,2,3,2,2,0,2,14
11,24,0,1,3,3,2,3,2,0,2,1
11,28,0,1,3,3,3,3,2,0,2,1
11,32,1,1,3,0,5,3,2,0,2,26
11,36,1,1,1,0,4,4,2,0,2,17
11,40,1,1,2,0,0,5,2,0,2,6
11,44,1,1,0,2,1,5,2,0,2,12
11,48,0,1,3,2,1,6,2,0,2,1
11,52,1,1,0,2,1,6,2,0,2,12
11,56,0,1,2,2,0,7,2,0,2,1
11,60,0,1,2,3,0,7,2,0,2,1
11,64,0,1,2,5,0,7,2,0,2,6
11,68,1,1,3,2,0,7,2,0,2,6
11,72,1,2,1,3,1,7,2,0,2,15
11,76,0,3,0,4,0,8,2,0,2,12
11,80,0,1,0,3,0,8,1,1,3,1
11,84,0,1,0,3,1,8,1,1,3,6
11,88,1,1,2,1,3,8,1,1,3,13
11,92,1,1,0,3,4,9,1,1,3,15
12,4,0,0,0,0,0,0,0,0,0,36
12,5,0,0,0,0,0,1,1,0,1,36
12,12,3,1,2,0,0,2,2,0,2,1
12,16,0,1,3,0,1,2,2,0,2,22
12,20,0,2,4,0,2,2,2,0,2,14
12,24,2,2,5,0,3,2,2,0,2,211
12,28,2,2,2,0,3,4,2,0,2,177
12,32,0,2,3,0,2,6,2,0,2,1
12,36,0,3,1,0,3,6,2,0,2,12
12,40,0,3,1,0,3,6,2,0,2,1
12,44,0,3,3,0,4,6,2,0,2,6
12,48,4,0,3,1,4,6,2,0,2,398
12,52,2,1,3,1,3,8,2,0,2,32
12,56,3,1,0,1,3,9,2,0,2,233
12,60,2,2,0,1,1,11,2,0,2,10
12,64,1,3,0,1,0,12,2,0,2,1
12,68,1,3,2,1,1,12,2,0,2,10
12,72,2,3,2,1,0,13,2,0,2,1
12,76,2,3,3,1,0,13,2,0,2,1
12,80,2,3,0,1,1,13,2,0,2,15
12,84,2,3,4,1,1,13,2,0,2,87
12,88,3,3,1,1,2,13,2,0,2,42
13,4,0,0,0,0,0,0,0,0,0,39
13,5,0,0,0,0,0,1,1,0,1,39
13,12,1,0,0,1,4,2,2,0,2,20
13,16,0,0,0,2,0,3,2,0,2,6
13,20,1,0,0,3,3,3,2,0,2,9
13,24,0,0,0,3,2,4,2,0,2,1
13,28,0,0,0,3,3,4,2,0,2,1
13,32,0,1,0,3,0,4,2,0,2,6
13,36,1,1,0,3,2,4,2,0,2,10
13,40,0,1,0,3,3,5,2,0,2,1
13,44,1,1,1,3,1,5,2,0,2,55
13,48,1,1,1,2,0,5,3,0,3,22
13,52,1,1,1,2,1,5,3,0,3,9
13,56,2,1,1,3,3,5,3,0,3,39
13,60,4,1,1,3,3,6,3,0,3,654
13,64,2,1,1,3,3,8,3,0,3,59
13,68,0,1,1,3,1,10,3,0,3,1
13,72,1,1,2,3,1,10,3,0,3,84
13,76,0,1,1,3,0,10,4,0,4,1
13,80,0,1,1,3,1,10,4,0,4,1
13,84,0,1,1,3,3,10,4,0,4,1
13,88,1,1,1,3,1,10,4,0,4,16
13,92,2,1,1,3,5,11,4,0,4,132
14,2,0,0,0,0,0,0,0,0,0,60
14,7,0,0,0,0,0,1,1,0,1,15
14,9,0,0,2,1,1,2,2,0,2,1
14,13,0,0,2,1,1,2,2,0,2,1
14,17,0,0,2,2,1,2,2,0,2,1
14,21,1,0,3,0,1,2,2,0,2,14
14,25,0,0,7,0,0,3,2,0,2,6
14,29,1,0,3,1,1,3,2,0,2,15
14,33,1,1,0,0,1,3,3,0,3,54
14,37,0,1,3,1,0,4,3,0,3,1
14,41,1,1,1,2,1,4,3,0,3,16
14,45,1,1,2,0,1,5,3,0,3,16
14,49,0,2,1,1,0,6,3,0,3,6
14,53,0,2,0,2,0,6,3,0,3,6
14,57,1,2,2,0,1,6,3,0,3,17
14,61,0,2,2,0,0,7,3,0,3,1
14,65,0,2,3,1,0,7,3,0,3,1
15,2,0,0,0,0,0,0,0,0,0,63
15,7,0,0,0,0,0,1,1,0,1,18
15,9,0,0,1,1,0,2,2,0,2,1
15,13,0,1,3,1,0,2,2,0,2,1
15,17,0,1,3,3,1,2,2,0,2,1
15,21,1,1,0,3,1,2,2,0,2,14
15,25,1,1,0,0,0,3,2,0,2,6
15,29,1,1,1,1,0,3,2,0,2,1
15,33,1,1,1,1,1,3,2,0,2,10
15,37,0,2,1,3,0,4,2,0,2,1
15,41,0,3,1,3,1,4,2,0,2,3
15,45,1,3,2,0,1,4,2,0,2,17
15,49,0,4,0,1,1,5,2,0,2,16
15,53,0,2,0,2,3,5,2,0,2,18
15,57,0,3,0,3,3,5,2,0,2,3
15,61,0,2,0,2,3,5,1,1,3,1
15,65,0,0,2,3,3,5,1,1,3,1
15,69,0,5,2,3,0,5,1,1,3,25
15,73,0,0,4,2,0,5,0,2,4,10
15,77,1,0,0,8,2,5,0,2,4,23
15,81,1,2,0,4,1,6,0,2,4,12
15,85,1,4,0,4,1,6,0,2,4,20
15,89,1,2,0,0,1,7,0,2,4,11
15,93,0,2,0,0,2,8,0,2,4,1
15,97,0,2,0,2,2,8,0,2,4,1
15,101,0,2,2,2,4,8,0,2,4,6
15,105,1,4,2,4,4,8,0,2,4,33
15,109,1,4,2,4,3,9,0,2,4,34
16,1,0,0,0,0,0,0,0,0,0,72
16,7,0,0,0,0,0,1,1,0,1,12
16,8,1,0,0,0,2,2,2,0,2,9
16,12,0,1,0,0,2,3,2,0,2,1
16,16,1,1,0,0,4,3,2,0,2,22
16,20,1,1,0,0,4,4,2,0,2,22
16,24,2,1,0,0,7,4,2,0,2,278
16,28,3,1,0,0,5,6,2,0,2,300
16,32,0,1,0,0,4,9,2,0,2,6
16,36,1,1,0,0,6,9,2,0,2,127
16,40,1,2,0,0,2,10,2,0,2,17
16,44,2,2,0,0,1,11,2,0,2,11
16,48,2,2,0,0,1,12,2,0,2,10
16,52,2,2,0,0,2,13,2,0,2,46
16,56,1,0,0,0,2,14,2,0,2,60
16,60,3,0,0,0,3,14,2,0,2,130
16,64,2,1,0,0,2,15,2,0,2,37
16,68,2,1,0,0,4,15,2,0,2,78
16,72,3,3,0,0,5,15,2,0,2,222
16,76,3,4,0,0,5,15,2,0,2,664
16,80,4,4,0,1,3,15,2,0,2,1410
16,84,6,0,0,2,4,15,2,0,2,1106
17,2,0,0,0,0,0,0,0,0,0,60
17,7,0,0,0,0,0,1,1,0,1,18
17,9,0,0,1,1,0,2,2,0,2,1
17,13,0,0,1,2,1,2,2,0,2,1
17,17,0,0,3,2,1,2,2,0,2,1
17,21,0,0,4,1,2,2,2,0,2,14
17,25,0,1,5,1,2,2,2,0,2,14
17,29,1,1,2,2,2,2,2,0,2,14
17,33,0,1,3,2,1,3,2,0,2,1
17,37,0,2,3,2,2,3,2,0,2,1
17,41,1,2,0,2,3,3,2,0,2,16
17,45,0,3,0,3,2,4,2,0,2,3
17,49,1,4,1,0,3,4,2,0,2,32
17,53,1,0,1,1,3,5,2,0,2,16
17,2,0,0,0,0,0,0,0,0,0,60
18,7,0,0,0,0,0,1,1,0,1,21
18,9,0,1,1,1,0,2,2,0,2,1
18,13,0,1,1,1,2,2,2,0,2,1
18,17,1,1,3,2,2,2,2,0,2,8
18,21,0,3,3,2,1,3,2,0,2,3
18,25,2,0,3,1,1,3,1,1,3,9
18,29,3,3,3,2,2,4,1,1,3,106
18,33,1,2,3,3,4,6,1,1,3,113
18,37,2,3,4,1,3,7,1,1,3,569
18,41,3,6,3,0,4,7,2,1,4,283
18,45,2,6,3,0,5,10,2,1,4,252
18,49,2,6,3,0,3,12,2,1,4,168
18,53,1,2,3,2,3,14,2,1,4,17
18,57,1,2,4,2,2,15,2,1,4,24
18,61,0,5,3,3,1,15,3,1,5,17
18,65,3,0,3,2,2,15,2,2,6,62
19,3,0,0,0,0,0,0,0,0,0,54
19,6,0,0,0,0,0,1,1,0,1,30
19,11,2,0,1,1,0,2,2,0,2,1
19,15,3,1,2,2,0,2,2,0,2,1
19,19,3,2,2,2,0,2,2,0,2,1
19,23,3,3,3,3,0,2,2,0,2,3
19,27,5,2,1,1,0,2,1,1,3,24
19,31,1,3,1,2,0,2,1,1,3,14
19,35,1,0,1,2,0,2,0,2,4,1
19,39,1,0,1,2,0,2,0,2,4,1
19,43,3,2,3,4,0,2,0,2,4,13
19,47,3,2,5,6,1,2,0,2,4,35
19,51,2,4,1,10,1,3,0,2,4,40
19,55,2,4,1,6,2,3,0,2,4,168
19,59,2,4,1,4,1,5,0,2,4,30
