turn,clay,ore,sheep,wheat,wood,roads,settlements,cities,vp,num_moves
34,1,0,1,1,3,5,3,0,3,112
38,1,4,2,1,1,5,3,0,3,157
42,2,0,2,1,1,5,4,0,4,15
46,0,3,2,2,2,5,4,0,4,102
50,1,1,2,0,1,5,3,1,5,15
54,0,3,2,0,0,5,3,1,5,1
3,0,0,0,0,0,0,0,0,0,51
6,0,0,0,0,0,1,1,0,1,27
11,1,1,0,2,0,2,2,0,2,1
15,3,2,0,3,0,2,2,0,2,1
19,3,3,0,3,1,2,2,0,2,27
23,0,3,0,3,1,2,1,1,3,23
27,4,0,0,1,1,2,0,2,4,22
31,1,0,0,1,1,3,0,2,4,14
35,0,0,0,3,4,4,0,2,4,6
39,0,0,0,5,4,4,0,2,4,18
43,2,0,0,7,6,4,0,2,4,448
47,3,0,2,4,4,6,0,2,4,504
51,0,0,1,1,0,7,2,2,6,6
55,0,0,2,1,0,7,2,2,6,6
59,0,0,1,1,1,7,2,2,6,6
63,1,0,1,0,1,7,2,2,6,12
67,1,0,1,0,1,7,2,2,6,6
71,1,0,4,3,1,7,2,2,6,36
75,0,0,0,8,0,8,2,2,6,10
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,1
12,1,0,3,1,1,2,2,0,2,9
16,0,0,4,2,1,3,2,0,2,15
20,1,0,1,2,2,3,2,0,2,16
24,1,0,1,1,3,3,3,0,3,10
28,1,0,3,1,2,4,3,0,3,12
32,1,0,2,2,1,4,4,0,4,11
36,1,0,4,2,0,5,4,0,4,17
40,2,0,7,2,0,5,4,0,4,17
44,3,0,8,2,2,5,4,0,4,567
48,3,0,7,2,3,6,4,0,4,728
52,1,0,7,1,0,8,5,0,5,17
56,1,0,8,1,6,8,5,0,5,172
60,2,0,9,2,5,9,5,0,5,314
64,3,0,11,2,4,10,5,0,5,910
68,3,0,15,2,5,11,5,0,5,946
72,4,0,15,2,8,12,5,0,5,2690
76,3,0,19,3,7,13,5,0,5,1970
1,0,0,0,0,0,0,0,0,0,72
8,0,0,0,0,0,1,1,0,1,1
12,2,1,1,1,0,2,2,0,2,1
16,2,1,3,1,0,2,2,0,2,1
20,0,2,3,1,0,2,2,0,2,6
24,1,2,0,1,1,2,2,0,2,14
28,1,2,1,3,0,3,2,0,2,1
32,1,3,1,3,0,3,2,0,2,3
36,3,2,2,1,0,3,1,1,3,1
40,3,2,2,2,1,3,1,1,3,11
44,2,2,2,1,1,3,2,1,4,15
48,4,0,1,1,2,4,2,1,4,118
52,2,2,1,0,3,5,3,1,5,67
56,1,2,2,3,2,6,3,1,5,13
60,1,2,2,1,1,7,3,1,5,19
64,0,4,1,2,0,7,4,1,6,26
2,0,0,0,0,0,0,0,0,0,69
7,0,0,0,0,0,1,1,0,1,27
10,0,0,1,3,1,2,2,0,2,1
14,0,0,1,3,3,2,2,0,2,1
18,1,0,1,3,1,2,2,0,2,14
22,1,0,2,5,1,3,2,0,2,60
26,1,0,3,6,1,3,3,0,3,54
30,0,0,2,7,0,4,3,0,3,6
34,1,0,4,4,2,4,3,0,3,27
38,0,0,3,3,1,4,4,0,4,1
42,0,0,5,4,2,4,4,0,4,26
46,0,0,5,4,4,4,4,0,4,30
50,0,0,5,4,5,4,4,0,4,38
54,3,0,3,6,5,4,4,0,4,518
58,5,0,3,4,4,6,4,0,4,1601
